Time,Heart Rate (bpm),Body Temperature (°C),Barking Volume (dB),Weather
12:15,95,39.1,7,Partly Cloudy
12:20,95,39.6,7,Cloudy
12:25,97,39.3,6,Cloudy
12:30,95,39.2,10,Partly Cloudy
12:35,96,39.4,6,Cloudy
12:40,96,39.4,10,Cloudy
12:45,96,40.0,6,Cloudy
12:50,94,39.6,7,Partly Cloudy
12:55,95,39.1,10,Partly Cloudy
13:00,95,39.4,5,Cloudy
13:05,90,39.4,10,Cloudy
13:10,94,39.6,7,Partly Cloudy
13:15,95,39.0,6,Partly Cloudy
13:20,94,39.7,5,Cloudy
13:25,97,39.5,10,Cloudy
13:30,93,39.1,8,Cloudy
13:35,95,39.8,5,Cloudy
13:40,90,39.6,7,Cloudy
13:45,96,39.9,9,Cloudy
13:50,92,39.6,7,Partly Cloudy
13:55,95,39.6,8,Partly Cloudy
14:00,93,39.0,9,Partly Cloudy
14:05,99,39.0,10,Partly Cloudy
14:10,92,39.1,10,Cloudy
14:15,95,39.4,6,Cloudy
14:20,92,39.1,6,Partly Cloudy
14:25,100,39.5,9,Partly Cloudy
14:30,90,39.5,7,Partly Cloudy
14:35,96,39.7,7,Partly Cloudy
14:40,100,39.5,6,Cloudy
14:45,92,39.4,6,Cloudy
14:50,91,39.3,10,Cloudy
14:55,94,39.4,7,Cloudy
15:00,90,39.4,7,Partly Cloudy
15:05,90,39.6,7,Cloudy
15:10,94,39.5,10,Cloudy
15:15,94,39.6,10,Cloudy
15:20,95,40.0,9,Partly Cloudy
15:25,88,39.7,10,Partly Cloudy
15:30,88,39.9,7,Partly Cloudy
15:35,95,39.7,6,Cloudy
15:40,89,39.4,7,Partly Cloudy
15:45,85,39.7,7,Cloudy
15:50,95,39.7,6,Cloudy
15:55,89,39.9,10,Partly Cloudy
16:00,89,39.5,9,Partly Cloudy
16:05,86,39.8,5,Partly Cloudy
16:10,95,39.5,7,Partly Cloudy
16:15,94,39.9,10,Partly Cloudy
16:20,94,39.3,8,Partly Cloudy
16:25,88,39.8,9,Partly Cloudy
16:30,88,39.3,10,Partly Cloudy
16:35,93,39.3,6,Cloudy
16:40,86,39.4,5,Partly Cloudy
16:45,95,39.4,8,Partly Cloudy
16:50,94,39.2,7,Partly Cloudy
16:55,92,39.4,10,Cloudy
17:00,83,40.1,12,Cloudy
17:05,85,40.0,15,Cloudy
17:10,87,39.5,11,Partly Cloudy
17:15,85,40.0,10,Partly Cloudy
17:20,90,39.8,9,Cloudy
17:25,80,40.1,9,Cloudy
17:30,80,39.9,8,Partly Cloudy
17:35,83,39.6,6,Partly Cloudy
17:40,82,39.8,13,Partly Cloudy
17:45,83,39.9,7,Partly Cloudy
17:50,90,39.5,5,Cloudy
17:55,88,39.9,7,Cloudy
18:00,107,39.8,20,Clear
18:05,111,40.5,10,Clear
18:10,110,40.1,17,Clear
18:15,108,40.2,10,Clear
18:20,110,40.3,18,Clear
18:25,116,40.1,15,Clear
18:30,107,40.1,16,Clear
18:35,105,39.9,15,Clear
18:40,116,39.9,17,Clear
18:45,107,40.1,14,Clear
18:50,111,40.4,12,Clear
18:55,115,40.3,18,Clear
19:00,105,40.2,17,Clear
19:05,104,39.7,20,Clear
19:10,106,40.1,10,Clear
19:15,114,39.8,10,Clear
19:20,119,40.3,13,Clear
19:25,114,40.1,17,Clear
19:30,100,39.6,20,Clear
19:35,111,39.5,18,Clear
19:40,119,39.7,17,Clear
19:45,108,39.5,16,Clear
19:50,103,40.3,13,Clear
19:55,103,40.2,19,Clear
20:00,98,39.7,10,Clear
20:05,98,40.0,6,Clear
20:10,95,39.8,7,Clear
20:15,91,39.2,9,Clear
20:20,91,39.2,10,Clear
20:25,92,39.9,5,Clear
20:30,92,39.0,8,Clear
20:35,93,39.0,10,Clear
20:40,93,39.9,7,Clear
20:45,93,39.2,7,Clear
20:50,93,39.6,9,Clear
20:55,97,39.9,9,Clear
21:00,97,39.9,6,Clear
21:05,95,39.8,7,Clear
21:10,93,39.7,5,Clear
21:15,99,39.3,7,Clear
21:20,92,39.8,8,Clear
21:25,99,39.4,7,Clear
21:30,95,39.3,10,Clear
21:35,92,39.4,8,Clear
21:40,97,39.3,9,Clear
21:45,99,39.6,8,Clear
21:50,98,39.6,9,Clear
21:55,97,39.9,6,Clear
22:00,78,39.2,4,Clear
22:05,85,39.9,9,Clear
22:10,80,39.4,3,Clear
22:15,76,39.0,5,Clear
22:20,78,39.6,10,Clear
22:25,76,39.6,5,Clear
22:30,82,39.2,3,Clear
22:35,83,39.7,7,Clear
22:40,85,39.6,7,Clear
22:45,75,39.6,0,Clear
22:50,81,39.4,6,Clear
22:55,80,39.7,7,Clear
23:00,84,39.1,7,Clear
23:05,81,39.3,4,Clear
23:10,77,39.5,2,Clear
23:15,80,39.3,7,Clear
23:20,80,39.2,0,Clear
23:25,81,39.1,5,Clear
23:30,79,39.8,8,Clear
23:35,83,39.4,5,Clear
23:40,84,39.4,3,Clear
23:45,77,39.2,2,Clear
23:50,78,39.3,9,Clear
23:55,75,39.8,1,Clear
