Time,Heart Rate (bpm),Body Temperature (°C),Barking Volume (dB),Weather
17:45,78,38.8,10,Partly Cloudy
17:50,72,38.6,7,Partly Cloudy
17:55,80,38.9,10,Cloudy
18:00,90,39.2,35,Clear
18:05,96,39.5,23,Clear
18:10,108,39.3,37,Clear
18:15,96,39.4,39,Clear
18:20,106,39.0,20,Clear
18:25,102,39.3,29,Clear
18:30,107,39.2,40,Clear
18:35,105,39.5,36,Clear
18:40,97,39.1,37,Clear
18:45,90,39.3,23,Clear
18:50,109,39.1,20,Clear
18:55,97,39.4,37,Clear
19:00,90,39.1,34,Clear
19:05,91,39.2,27,Clear
19:10,106,39.2,37,Clear
19:15,93,39.1,34,Clear
19:20,100,39.3,23,Clear
19:25,107,39.2,37,Clear
19:30,97,39.2,30,Clear
19:35,91,39.3,36,Clear
19:40,98,39.4,38,Clear
19:45,91,39.1,30,Clear
19:50,104,39.2,39,Clear
19:55,101,39.3,22,Clear
20:00,84,38.6,18,Clear
20:05,86,38.5,19,Clear
20:10,90,38.9,15,Clear
20:15,84,38.9,12,Clear
20:20,86,38.9,14,Clear
20:25,82,38.5,15,Clear
20:30,87,38.7,12,Clear
20:35,81,39.0,11,Clear
20:40,90,38.6,10,Clear
20:45,85,39.0,17,Clear
20:50,85,38.9,12,Clear
20:55,81,38.9,14,Clear
21:00,89,38.8,18,Clear
21:05,84,38.7,18,Clear
21:10,85,38.7,10,Clear
21:15,81,38.7,17,Clear
21:20,88,38.6,10,Clear
21:25,89,38.9,13,Clear
21:30,88,38.9,11,Clear
21:35,84,38.6,20,Clear
21:40,86,38.6,20,Clear
21:45,86,38.5,12,Clear
21:50,82,38.6,18,Clear
21:55,85,39.0,11,Clear
22:00,63,38.5,2,Clear
22:05,66,38.2,5,Clear
22:10,66,38.4,4,Clear
22:15,65,38.1,2,Clear
22:20,70,38.2,3,Clear
22:25,66,38.4,3,Clear
22:30,69,38.4,0,Clear
22:35,62,38.5,5,Clear
22:40,66,38.2,3,Clear
22:45,65,38.3,0,Clear
22:50,60,38.0,3,Clear
22:55,65,38.1,4,Clear
23:00,70,38.4,0,Clear
23:05,69,38.4,1,Clear
23:10,63,38.4,1,Clear
23:15,63,38.4,3,Clear
23:20,69,38.4,4,Clear
23:25,64,38.0,4,Clear
23:30,63,38.3,3,Clear
23:35,61,38.4,0,Clear
23:40,70,38.3,2,Clear
23:45,64,38.5,3,Clear
23:50,69,38.4,3,Clear
23:55,67,38.2,3,Clear
